epShort,samplingStartDate,plot,treeTagNo,scientificName,dbh_in,ht_ft,htlc_ft,cbh_ft,status,crownScorch_%,maxScorchHt_ft,minBoleChar_ft,maxBoleChar_ft,burnSeverity
PRE,10-Sep-16,17,1218,Pinus contorta var. latifolia,0.4,6,2,1,L,95,6,0.1,0.1,2
PRE,10-Sep-16,17,1214,Pinus contorta var. latifolia,0.4,5,1,1,L,95,3,0.1,0.1,2
PRE,10-Sep-16,11,3520,Pinus contorta var. latifolia,0.3,5,1,1,L,95,5,0.1,0.1,2
PRE,10-Sep-16,17,1220,Pinus contorta var. latifolia,0.3,5,1,1,L,95,5,0.1,0.1,2
PRE,10-Sep-16,1,908,Pinus ponderosa,21.5,94,47,39,L,90,88,15,20,2
PRE,20-Sep-16,3,409,Pinus ponderosa,19.5,88,40,21,L,90,73,0.1,12,2
PRE,23-Sep-16,3,507,Pinus ponderosa,16.8,42,13,13,L,90,42,6,6.5,2
PRE,20-Sep-16,5,420,Pinus ponderosa,16.3,74,36,36,L,90,72,24,38,2
PRE,23-Sep-16,19,153,Pinus ponderosa,16.2,66,19,17,L,90,62,4,6,2
PRE,20-Sep-16,3,407,Larix occidentalis,15.2,81,34,34,L,90,72,0,22,2
PRE,20-Sep-16,11,2434,Pseudotsuga menziesii,10.7,73,42,11,L,90,61,5,9,2
PRE,20-Sep-16,9,484,Larix occidentalis,7.9,59,27,24,L,90,56,9,18,2
PRE,12-Sep-16,15,73,Abies grandis,6.5,21,6,5,L,90,21,4,5,2
PRE,20-Sep-16,9,467,Pseudotsuga menziesii,6.2,37,21,6,L,90,32,0.1,2,2
PRE,20-Sep-16,11,2452,Pseudotsuga menziesii,5.7,49,35,5,L,90,44,3,8,2
PRE,23-Sep-16,3,505,Pinus ponderosa,5.3,22,2,2,L,90,22,0,1,2
PRE,10-Sep-16,17,1211,Pinus ponderosa,5.3,28,9,9,L,90,25,1,3,2
PRE,20-Sep-16,19,697,Pseudotsuga menziesii,4.6,30,8,2,L,90,26,0.1,3,2
PRE,20-Sep-16,9,470,Pseudotsuga menziesii,4.3,36,25,6,L,90,26,1,4,2
PRE,20-Sep-16,19,191,Pseudotsuga menziesii,4.3,25,6,1,L,90,22,3,6,2
PRE,12-Sep-16,15,102,Pseudotsuga menziesii,3.7,23,8,4,L,90,21,0.1,2,2
PRE,12-Sep-16,15,76,Abies grandis,3.4,29,4,4,L,90,29,0,0.1,2
PRE,20-Sep-16,7,440,Pseudotsuga menziesii,3.3,20,9,1,L,90,22,0.1,2,2
PRE,20-Sep-16,13,2464,Pinus ponderosa,3.2,20,13,4,L,90,15,0.1,3,2
